271101AMS04Mar02RICHARDSON40320916748465
27ll02PAR04Mar02SMITH J   49230814656542
271103Par05Mar02JAMES     36649817745874
271104AMS06Mar02SMITH A   34524316742604
271105AMS07Mar02RICHARDSON24830721534655
271105AMS07Mar02RICHARDSON24830721534655
271106PRA07Mar02SMITH J   35320515542728
271107AMS08Mar02SMITH A   39139518648529
271108PAR08Mar02JAMES     36627915244118
271109AMS09Mar02RICHARDSON12936820331403
      PAR09Mar02SMITH J   35728215943535
271111AMS10Mar02SMITH A   38947918884659
271112PAR10Mar02JAMES     41546318250889
271113AMS11Mar02SMITH A   40118A17447986
271114PAR11Mra02JAMES     49730816056950
271115PAR12Mar02SMITH J   38748518047844
271116AMS13Mar02RICHARDS0N36824617344614
271117AMS14Mar02SMITH A   27033819536862
271118PAR41Mar02James     34823517142086
271119ams15Mar02RICHARDSON38242517347720
271120PAR15Mar02SMITH J   35531017142758
271112AMS16Mar02SMITH A   22637918532059
271122PAR16Mar20JAMES     33229217941344
271123   17Mar02RICHARDSON41344518651090
271124PAR17Mar02SMITH J   40144619749147
